# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
5826.52887538 -4.36734924696e-07 4.94084107467e-07 4.62023386234e-07 3.10707821994e-07
5876.32826748 -3.89412683684e-07 5.55800685433e-07 5.44241589882e-07 2.8271800583e-07
5926.12765957 -2.9296923554e-07 6.84703924154e-07 6.88302569249e-07 1.89218258969e-07
5975.92705167 -2.64904733681e-07 6.40412634921e-07 6.52720617507e-07 1.45433171296e-07
6025.72644377 -2.57512300394e-07 6.97367810445e-07 7.53313356248e-07 2.79911162869e-08
6075.52583587 -9.51974233592e-08 8.43630278635e-07 7.2844892816e-07 -5.22796740266e-08
6125.32522796 3.71589617544e-08 8.34831477297e-07 7.35748948032e-07 -1.55601907044e-07
6175.12462006 2.1019426361e-07 8.20760017571e-07 6.81934187379e-07 -2.9647775392e-07
6224.92401216 3.64409622406e-07 7.37570428534e-07 6.11738930941e-07 -4.05588537674e-07
6274.72340426 4.12973133118e-07 5.49761315491e-07 4.18837215241e-07 -4.58764628866e-07
6324.52279635 4.4829395155e-07 4.41045002133e-07 3.14202631186e-07 -3.96134955183e-07
6374.32218845 4.08016872596e-07 3.29256740462e-07 2.8278500016e-07 -3.20829638439e-07
6424.12158055 3.48407780511e-07 3.57995915009e-07 3.57522193906e-07 -3.05639225696e-07
6473.92097264 4.64750573354e-07 2.89049841279e-07 3.08490797026e-07 -4.34606374051e-07
6523.72036474 4.42748474725e-07 1.81086753657e-07 1.82975667624e-07 -4.61916540445e-07
6573.51975684 3.63744354086e-07 1.33314440765e-07 1.42050913182e-07 -3.96166671322e-07
6623.31914894 3.39390078263e-07 1.33013292654e-07 1.15368684438e-07 -4.11448225324e-07
6673.11854103 3.1604818241e-07 1.54299845222e-07 7.10837347984e-08 -4.0934311766e-07
6722.91793313 4.04408248677e-07 3.076434003e-08 -1.53663096422e-09 -4.0711325957e-07
6772.71732523 1.96795808308e-07 -5.9359618842e-09 -5.81836826819e-08 -2.97630621039e-07
6822.51671733 2.25623740332e-07 9.29015533024e-08 8.74919890526e-09 -2.37034235019e-07
6872.31610942 2.50028719536e-07 5.36153102205e-08 -3.26280715176e-08 -3.04618242433e-07
6922.11550152 2.40377363721e-07 5.14648721448e-08 -7.24394849934e-08 -1.91335808412e-07
6971.91489362 1.27151627112e-07 -2.69394866205e-08 -8.44613065726e-10 -2.20296128117e-07
7021.71428571 8.44359575066e-08 1.23455299252e-07 -9.35229781344e-08 -1.13793112769e-07
