# 1:t 2:E_GW_dot 3:E_GW 4:J_GW_dot 5:J_GW
552.0 1.66974078822e-06 0.000384233851317 0.000156815000687 0.0221720881665
554.4 1.67523061487e-06 0.000388247817001 0.000157528661543 0.0225493005612
556.8 1.68117290387e-06 0.000392275501223 0.000158270353448 0.0229282593792
559.2 1.68712928126e-06 0.000396317463845 0.000159022892279 0.0233090112741
561.6 1.69291656666e-06 0.000400373518863 0.000159779459976 0.0236915740968
564.0 1.69837663486e-06 0.000404443070705 0.000160532651645 0.0240759486307
566.4 1.7033269698e-06 0.00040852511503 0.000161272232415 0.0244621144916
568.8 1.70770039511e-06 0.000412618347868 0.000161991313639 0.0248500307468
571.2 1.71155795588e-06 0.000416721457889 0.000162687424531 0.0252396452327
573.6 1.71500345858e-06 0.000420833331587 0.000163360713846 0.0256309029987
576.0 1.71823693276e-06 0.000424953220056 0.000164019099297 0.0260237587745
578.4 1.72163395812e-06 0.000429081065125 0.00016468307373 0.0264182013821
580.8 1.7255549277e-06 0.000433217691788 0.000165375757139 0.0268142719792
583.2 1.72994635754e-06 0.000437364293331 0.000166102078265 0.0272120453816
585.6 1.73421237762e-06 0.000441521283813 0.0001668405028 0.0276115764789
588.0 1.73765668598e-06 0.000445687526689 0.000167562269635 0.0280128598058
590.4 1.74006074975e-06 0.000449860787612 0.000168258623251 0.0284158448773
592.8 1.74176941702e-06 0.000454038983812 0.000168946153657 0.0288204906096
595.2 1.7433769461e-06 0.000458221159448 0.000169653327112 0.0292268099865
597.6 1.74542751525e-06 0.000462407724801 0.000170406413794 0.0296348816756
600.0 1.74817758161e-06 0.000466600050918 0.000171216107317 0.0300448287009
602.4 1.75156257227e-06 0.000470799739102 0.000172074134196 0.0304567769908
604.8 1.75557758501e-06 0.000475008307291 0.000172974172296 0.0308708349585
607.2 1.7605697823e-06 0.000479227684132 0.000173930483259 0.0312871205452
609.6 1.76697320754e-06 0.00048346073572 0.0001749644199 0.031705794429
612.0 1.77499738436e-06 0.00048771110043 0.000176080448451 0.032127048271
614.4 1.78458771704e-06 0.000491982602552 0.000177255529346 0.0325510514444
616.8 1.79534126043e-06 0.000496278517325 0.000178441624055 0.0329778880285
619.2 1.80660537727e-06 0.00050060085329 0.000179588117156 0.0334075237179
621.6 1.81785790442e-06 0.000504950209228 0.000180668232545 0.0338398313376
624.0 1.82866976894e-06 0.000509326042436 0.000181671994656 0.0342746396102
626.4 1.83838730449e-06 0.000513726510924 0.000182581646732 0.0347117439799
628.8 1.84645134477e-06 0.000518148317303 0.000183378458174 0.0351508961057
631.2 1.85316219107e-06 0.000522587853546 0.0001840760269 0.0355918414878
633.6 1.85979518942e-06 0.000527043402403 0.000184730532759 0.0360344093594
636.0 1.86772914358e-06 0.000531516431602 0.000185406475273 0.0364785737691
638.4 1.87743626477e-06 0.000536010630092 0.000186130912145 0.036924418634
640.8 1.88832984325e-06 0.000540529549422 0.000186883775091 0.0373720362586
643.2 1.89953116758e-06 0.000545074982635 0.000187630982062 0.0378214539672
645.6 1.91069644393e-06 0.000549647255769 0.000188360685082 0.0382726439678
648.0 1.92209914813e-06 0.000554246610479 0.000189085597 0.0387255795063
650.4 1.93403384874e-06 0.000558873970075 0.000189817019055 0.0391802626456
652.8 1.94631360689e-06 0.000563530387022 0.000190546010173 0.0396366982806
655.2 1.95843424311e-06 0.000568216084442 0.000191253206857 0.0400948573411
657.6 1.97006996467e-06 0.000572930289492 0.000191929429962 0.0405546765053
660.0 1.98114064319e-06 0.000577671742221 0.000192575467013 0.0410160823816
662.4 1.99146578062e-06 0.00058243886993 0.000193185244204 0.0414789952351
664.8 2.00070250862e-06 0.000587229471877 0.000193744074684 0.0419433104178
667.2 2.00865254654e-06 0.000592040697943 0.000194243167238 0.0424088951081
669.6 2.01534223832e-06 0.000596869491685 0.00019468218976 0.0428756055365
672.0 2.02074524765e-06 0.000601712796668 0.000195055827949 0.0433432911577
674.4 2.02464033876e-06 0.000606567259372 0.000195348125802 0.0438117759022
676.8 2.02688689689e-06 0.000611429092054 0.000195546335629 0.0442808492559
679.2 2.02785036795e-06 0.000616294776772 0.000195661067936 0.0447502981402
681.6 2.02854547688e-06 0.000621162451786 0.00019573398467 0.0452199722033
684.0 2.03029671021e-06 0.00062603306241 0.000195824531868 0.0456898424232
686.4 2.03406307823e-06 0.000630910294157 0.000195980446547 0.0461600083973
688.8 2.03994683086e-06 0.000635799106047 0.000196213183681 0.0466306407535
691.2 2.04740345312e-06 0.000640703926388 0.00019650318002 0.04710190039
693.6 2.05597593262e-06 0.000645627981651 0.000196831261973 0.0475739017204
696.0 2.06575369655e-06 0.000650574057206 0.000197201050955 0.0480467404959
698.4 2.07705191379e-06 0.000655545423939 0.000197626672727 0.0485205337643
700.8 2.08975138276e-06 0.000660545587894 0.00019810440022 0.0489954110519
703.2 2.10320531941e-06 0.000665577135937 0.000198609154346 0.0494714673173
705.6 2.11679481577e-06 0.000670641136099 0.000199118389292 0.0499487403697
708.0 2.13028541041e-06 0.000675737632371 0.00019962612553 0.0504272337875
710.4 2.14365609489e-06 0.000680866362177 0.000200134579039 0.050906946633
712.8 2.15690029544e-06 0.000686027029845 0.00020064585602 0.051387883155
715.2 2.1700166914e-06 0.00069121933023 0.000201162240819 0.0518700528712
717.6 2.18294067325e-06 0.000696442879067 0.000201683366502 0.0523534676
720.0 2.19536908314e-06 0.000701696850775 0.000202198364993 0.0528381256778
722.4 2.20673703366e-06 0.000706979378115 0.000202684690355 0.0533239853442
724.8 2.21650150246e-06 0.000712287264358 0.00020312049055 0.0538109515613
727.2 2.22452544315e-06 0.000717616496693 0.000203501492322 0.0542988979408
729.6 2.23118432943e-06 0.00072296334842 0.00020384609491 0.0547877150455
732.0 2.23707248308e-06 0.000728325256595 0.000204183374606 0.0552773504089
734.4 2.24257834108e-06 0.000733700837584 0.00020453480874 0.0557678122289
736.8 2.24770147249e-06 0.00073908917336 0.000204905256708 0.0562591403074
739.2 2.2522160763e-06 0.000744489074419 0.00020528853365 0.0567513728559
741.6 2.25594302727e-06 0.000749898865343 0.000205678392677 0.0572445331675
744.0 2.25888538258e-06 0.000755316659435 0.000206074821739 0.0577386370247
746.4 2.26126407718e-06 0.000760740838787 0.000206486688757 0.0582337108373
748.8 2.26352347892e-06 0.000766170583854 0.000206932169675 0.0587298134675
751.2 2.26616601764e-06 0.00077160621125 0.000207429880293 0.0592270479274
753.6 2.26943304766e-06 0.000777048930128 0.000207983075876 0.0597255434748
756.0 2.27326239997e-06 0.000782500164666 0.000208578951654 0.0602254179079
758.4 2.27779802319e-06 0.000787961437173 0.000209214713484 0.060726770306
760.8 2.28392993911e-06 0.000793435510728 0.000209923338381 0.0612297359683
763.2 2.29301667131e-06 0.000798927846661 0.000210759594806 0.0617345554881
765.6 2.30584528527e-06 0.000804446481009 0.000211748621325 0.0622415653474
768.0 2.32187846975e-06 0.000809999749515 0.000212847811091 0.0627510810663
770.4 2.3394834655e-06 0.000815593383837 0.000213963773808 0.0632632549682
772.8 2.35681289145e-06 0.000821228939465 0.000215007078702 0.0637780199912
775.2 2.37256678152e-06 0.000826904195073 0.00021593043384 0.0642951450063
777.6 2.38608421373e-06 0.000832614576267 0.000216722286473 0.0648143282707
780.0 2.39702031385e-06 0.0008383543017 0.000217381476915 0.0653352527867
782.4 2.40541894957e-06 0.000844117228816 0.000217914585116 0.0658576080612
784.8 2.41218433115e-06 0.000849898352753 0.000218357816585 0.0663811349432
787.2 2.4190604151e-06 0.000855695846449 0.000218784572916 0.0669057058106
789.6 2.42779520848e-06 0.000861512073197 0.000219275332351 0.0674313776969
792.0 2.43921122085e-06 0.000867352480912 0.000219874691256 0.0679583577253
794.4 2.45301203216e-06 0.000873223148816 0.000220576905 0.0684868996408
796.8 2.46841795018e-06 0.000879128864795 0.000221350643487 0.0690172126989
799.2 2.48490540136e-06 0.000885072852816 0.000222171522213 0.0695494392978
801.6 2.5021978135e-06 0.000891057376674 0.00022302287236 0.0700836725713
804.0 2.51958285453e-06 0.000897083513476 0.000223869180795 0.0706199430351
806.4 2.53562926291e-06 0.000903149768017 0.000224648919502 0.0711581647554
