# 1:time 2:Re 3:Im
3559.2 1.73175654178e-06 1.75357262393e-06
3561.6 1.92974131472e-06 2.19475445738e-06
3564.0 1.37944848223e-06 2.220958843e-06
3566.4 5.99124370897e-07 1.8959219418e-06
3568.8 1.10323518078e-07 1.48004710491e-06
3571.2 2.04809129663e-07 1.2018487937e-06
3573.6 9.77166369849e-07 1.09830606867e-06
3576.0 2.20373219372e-06 1.07567145016e-06
3578.4 3.20333771389e-06 1.06260364461e-06
3580.8 3.22392508967e-06 1.0534315294e-06
3583.2 2.18193668949e-06 1.0391361209e-06
3585.6 8.68347073825e-07 9.68562439395e-07
3588.0 2.66669955159e-07 7.86247050898e-07
3590.4 6.77205667122e-07 4.65268178352e-07
3592.8 1.53413653919e-06 -1.32248566353e-08
3595.2 2.00725381416e-06 -6.80340501343e-07
3597.6 1.70865344768e-06 -1.53972436491e-06
3600.0 8.85689654459e-07 -2.50737965492e-06
3602.4 9.95414428378e-08 -3.41672698212e-06
3604.8 -2.15569291558e-07 -4.08225888749e-06
3607.2 5.59124692755e-09 -4.3541337962e-06
3609.6 4.81908132346e-07 -4.16312794234e-06
3612.0 7.77972400631e-07 -3.58599667018e-06
3614.4 5.33347927954e-07 -2.87284896688e-06
3616.8 -3.46483168623e-07 -2.33320771631e-06
3619.2 -1.55371912935e-06 -2.12295995416e-06
3621.6 -2.41011335897e-06 -2.1477520158e-06
3624.0 -2.25940576902e-06 -2.20044055452e-06
3626.4 -1.07206658062e-06 -2.16622939536e-06
3628.8 3.58254399874e-07 -2.06456082015e-06
3631.2 1.01046491062e-06 -1.93545686303e-06
3633.6 5.12268116393e-07 -1.75484231637e-06
3636.0 -6.04369111208e-07 -1.45133100852e-06
3638.4 -1.48182850202e-06 -9.39110995995e-07
3640.8 -1.68167179572e-06 -1.41642922315e-07
3643.2 -1.38740317974e-06 9.24158096722e-07
3645.6 -1.0537417164e-06 2.05278459754e-06
3648.0 -1.01140673748e-06 2.90755611351e-06
