# 1:time 2:flux 3:mass
4036.8 2.77949e-07 0.000259195
4041.6 2.75907e-07 0.000260519
4046.4 2.73795e-07 0.000261834
4051.2 2.7159e-07 0.000263137
4056 2.70724e-07 0.000264437
4060.8 2.68384e-07 0.000265725
4065.6 2.67112e-07 0.000267007
4070.4 2.64588e-07 0.000268277
4075.2 2.63096e-07 0.00026954
4080 2.61557e-07 0.000270795
4084.8 2.6095e-07 0.000272048
4089.6 2.60627e-07 0.000273299
4094.4 2.59715e-07 0.000274546
4099.2 2.59658e-07 0.000275792
4104 2.58048e-07 0.000277031
4108.8 2.57462e-07 0.000278266
4113.6 2.56361e-07 0.000279497
4118.4 2.54327e-07 0.000280718
4123.2 2.53681e-07 0.000281935
4128 2.5266e-07 0.000283148
4132.8 2.50417e-07 0.00028435
4137.6 2.49855e-07 0.00028555
4142.4 2.48226e-07 0.000286741
4147.2 2.47304e-07 0.000287928
4152 2.45741e-07 0.000289108
4156.8 2.44481e-07 0.000290281
4161.6 2.42861e-07 0.000291447
4166.4 2.41758e-07 0.000292607
4171.2 2.40959e-07 0.000293764
4176 2.40009e-07 0.000294916
4180.8 2.38904e-07 0.000296063
4185.6 2.38114e-07 0.000297206
4190.4 2.37754e-07 0.000298347
4195.2 2.36953e-07 0.000299484
4200 2.36182e-07 0.000300618
4204.8 2.34961e-07 0.000301746
4209.6 2.34175e-07 0.00030287
4214.4 2.34978e-07 0.000303998
4219.2 2.34614e-07 0.000305124
4224 2.34785e-07 0.000306251
4228.8 2.34054e-07 0.000307374
4233.6 2.33085e-07 0.000308493
4238.4 2.32279e-07 0.000309608
4243.2 2.3222e-07 0.000310723
4248 2.31291e-07 0.000311833
4252.8 2.29963e-07 0.000312937
4257.6 2.2876e-07 0.000314035
4262.4 2.27677e-07 0.000315128
4267.2 2.26283e-07 0.000316214
4272 2.25437e-07 0.000317296
4276.8 2.24959e-07 0.000318376
