                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       4709.90094997       19.6180481668        20.658558122       18.9546968873       18.4704885864       18.8982252018       18.1679983581       20.6941457588       18.6137974858        18.677598894       18.3287814065       19.0332241404       18.2771716128       20.1356920156
       4724.81517211       19.6140317392       20.6542669123       18.9510348963       18.4673539955       18.8946068803       18.1657988431       20.6898482443       18.6104600328       18.6741873175       18.3259303509       19.0295062095       18.2744627382       20.1315130559
       4739.77662115       19.6100225801       20.6499819462       18.9473815109       18.4642300008       18.8909973294       18.1636133809       20.6855569501       18.6071324119       18.6707852932       18.3230909524       19.0257966727        18.271766049       20.1273407567
       4754.78544663       19.6060172351       20.6456999358       18.9437330715       18.4611126592       18.8873928653       18.1614375909       20.6812685922       18.6038107862       18.6673890239       18.3202591266        19.022091902       18.2690773928        20.123171761
       4769.84179858       19.6020120976       20.6414180291       18.9400849818       18.4579958662       18.8837887683       18.1592625866       20.6769803358       18.6004896363       18.6639932025       18.3174279401       19.0183874585       18.2663894155         20.11900291
        4784.9458275       19.5980134433       20.6371416852       18.9364445742       18.4548885309       18.8801925012       18.1571000837       20.6726976213       18.5971772642       18.6606059093       18.3146071516       19.0146905078       18.2637123027       20.1148399961
       4800.09768436       19.5940192331       20.6328690387       18.9328095971       18.4517881138       18.8766017873       18.1549471198       20.6684185873       18.5938712371       18.6572247518       18.3117940812       19.0109988308       18.2610433077       20.1106810821
        4815.2975206       19.5900242239       20.6285955018       18.9291739553       18.4486872347       18.8730104256       18.1527939863       20.6641386609       18.5905646714       18.6538430271       18.3089806497       19.0073064672       18.2583739987       20.1065213129
       4830.54548815        19.586033802       20.6243258317       18.9255438393       18.4455932655       18.8694247054       18.1506500986       20.6598625851       18.5872644871       18.6504674893       18.3061748555       19.0036194813        18.255712686       20.1023657033
       4845.84173944       19.5820499998       20.6200619524       18.9219214462       18.4425087024        18.865846846       18.1485186471       20.6555922814       18.5839730573       18.6471004691       18.3033793833       18.9999400423       18.2530621559       20.0982162197
       4861.18642734       19.5780703581       20.6158015515       18.9183041208       18.4394305844       18.8622741673        18.146396092       20.6513254407       18.5806875406       18.6437391681        18.300591101       18.9962655263       18.2504191892       20.0940704902
       4876.57970525       19.5740917416       20.6115418291       18.9146882562       18.4363545158       18.8587030014        18.144276365       20.6470592706       18.5774038577       18.6403796184       18.2978051436        18.992592404       18.2477786731       20.0899255809
       4892.02172702        19.570117037       20.6072851799       18.9110774084       18.4332851247       18.8551369895       18.1421662302       20.6427961547        18.574126213       18.6370258735       18.2950267546       18.9889241231       18.2451461703       20.0857840848
         4907.512647       19.5661465506       20.6030321197       18.9074716206       18.4302220793       18.8515761428       18.1400647409       20.6385366137       18.5708544167       18.6336777958       18.2922554092       18.9852607676       18.2425210613       20.0816464316
       4923.05262004       19.5621793706       20.5987819182       18.9038697194       18.4271637538       18.8480192535       18.1379692738       20.6342799213        18.567587026       18.6303340069       18.2894892058       18.9816012077       18.2399012975       20.0775118189
       4938.64180146       19.5582156833       20.5945347151       18.9002719623       18.4241105399        18.844466589       18.1358805482       20.6300262162       18.5643243772       18.6269948237       18.2867286227       18.9779456887       18.2372874049       20.0733804046
       4954.28034708       19.5542568968       20.5902915097       18.8966803058        18.421065254       18.8409201748       18.1338030423       20.6257764884       18.5610689492       18.6236626041       18.2839769617        18.974296079       18.2346829345       20.0692533534
       4969.96841322       19.5503031187       20.5860523501       18.8930949191       18.4180281219       18.8373801865        18.131736964       20.6215307845       18.5578209514       18.6203375499       18.2812344597       18.9706525392       18.2320881238       20.0651307389
       4985.70615669       19.5463494652        20.581813332       18.8895096383       18.4149910412       18.8338403013       18.1296706755       20.6172852227        18.554573032       18.6170125817       18.2784919554       18.9670091088       18.2294932758       20.0610082578
        5001.4937348       19.5424004995       20.5775783341        18.885929932        18.411960875        18.830306101       18.1276136598       20.6130436659       18.5513315105       18.6136938231       18.2757570862       18.9633711116       18.2269064229       20.0568900667
       5017.33130535       19.5384575211        20.573348305       18.8823575412       18.4089399959       18.8267793801       18.1255693265       20.6088070549       18.5480985207       18.6103833188       18.2730325507         18.95974022       18.2243304234       20.0527772586
       5033.21902665       19.5345163684       20.5691196552       18.8787875615       18.4059223853       18.8232551423       18.1235296575       20.6045718132       18.5448684736       18.6070756368       18.2703117269       18.9561116471       18.2217583517       20.0486660105
        5049.1570575       19.5305782615       20.5648934999       18.8752213697       18.4029096989       18.8197347855       18.1214969418       20.6003390536        18.541642911       18.6037722793       18.2675964439       18.9524867433       18.2191921301       20.0445574789
       5065.14555721       19.5266454863       20.5606718104       18.8716616374        18.399905138       18.8162210272       18.1194751794       20.5961107402       18.5384248372       18.6004761763       18.2648901644        18.948868121        18.216635346        20.040453765
       5081.18468559        19.522718636       20.5564552521       18.8681088739       18.3969091053       18.8127143668       18.1174646442       20.5918875399       18.5352146928       18.5971877836       18.2621932438       18.9452563019       18.2140883338       20.0363555041
       5097.27460296       19.5187903233       20.5522372414       18.8645546477       18.3939116026       18.8092062439       18.1154525217       20.5876628878       18.5320030843       18.5938979277       18.2594948349       18.9416430199       18.2115398189       20.0322557849
